1, none, regions_unexplored:alpha_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
2, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:centipede_head, 10, 1, 1
3, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
4, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:murmur, 10, 1, 1
5, none, regions_unexplored:alpha_grove, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
6, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:drygmy, 10, 1, 2
7, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
8, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
9, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
10, none, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:fly, 10, 2, 3
11, none, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:cockroach, 10, 5, 5
12, none, regions_unexplored:alpha_grove, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
13, none, far_end:amethyst_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
14, none, far_end:amethyst_forest, CREATURE, alexsmobs:endergrade, 10, 2, 6
15, none, far_end:amethyst_forest, CREATURE, alexsmobs:spectre, 10, 1, 2
16, none, far_end:amethyst_forest, CREATURE, alexsmobs:enderiophage, 10, 2, 2
17, none, far_end:amethyst_forest, CREATURE, alexsmobs:cosmaw, 10, 1, 2
18, none, far_end:amethyst_forest, AMBIENT, alexsmobs:cosmic_cod, 10, 9, 13
19, none, deeper_dark:amethyst_mines, MONSTER, alexsmobs:farseer, 30, 1, 1
20, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
21, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
22, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
23, forest, ars_nouveau:archwood_forest, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
24, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 3, 5
25, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 3
26, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 3
27, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:blazing_weald_walker, 10, 1, 1
28, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:cascading_weald_walker, 10, 1, 1
29, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:flourishing_weald_walker, 10, 1, 1
30, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:vexing_weald_walker, 10, 1, 1
31, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
32, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
33, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:crow, 10, 3, 5
34, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
35, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
36, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
37, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
38, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
39, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
40, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
41, forest, ars_nouveau:archwood_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
42, forest, ars_nouveau:archwood_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
43, forest, ars_nouveau:archwood_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
44, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:nightmare, 10, 1, 1
45, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
46, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
47, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:farseer, 30, 1, 1
48, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:murmur, 10, 1, 1
49, badlands, regions_unexplored:arid_mountains, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
50, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:roadrunner, 10, 2, 2
51, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
